title,uuid,tags,links,last_mod_dt,word_count
Ecodharma - Utilitarianism,['202007202028'],['#utilitarianism'],"['[[202007202028]]', '[[202007201826]]', '[[202105131452]]', '[[202007050647]]']",Thu Aug 18 09:13:17 2022,137
Name the action,['202002100737'],"['#ENGL393', '#writing', '#skill']","['[[202002100758]]', '[[202103090938]]', '[[202002100737]]', '[[202001230805]]']",Tue Mar 09 09:44:46 2021,90
The Man Who Shouted Teresa,['202110281738'],['#writing'],"['[[202110281738]]', '[[202001211808]]', '[[202105131646]]']",Fri Oct 28 17:56:42 2022,558
Key Point Followed By Ten Examples,['202012261937'],"['#writing', '#flash']","['[[202012261937]]', '[[202112260956]]', '[[202012261943]]', '[[202008062014]]', '[[202001230805]]', '[[202012271136]]']",Sun Dec 26 09:56:41 2021,357
Climate Change Doesn't Feel Real,['202001181031'],[],"['[[202001181031]]', '[[202001181020]]', '[[201912121936]]', '[[202009122057]]']",Tue Jan 18 08:09:02 2022,79
Boltzmann Brain,['202109220810'],['#mental-models'],"['[[202109220810]]', '[[202109220828]]', '[[202001212111]]']",Mon Sep 27 15:16:09 2021,108
Weaving The Natural World And Human Experience,['202008062005'],[],"['[[202008062005]]', '[[202009070634]]', '[[202008061946]]']",Wed Jul 13 08:51:03 2022,151
» The Nature Of Experience,['202012121221'],['#dzogchen'],"['[[202012121221]]', '[[202011202109]]']",Sun Dec 12 09:17:27 2021,163
Thinking about note problems,['202001031813'],"['#quote,', '#zettelkasting.', '#writing,', '#ENGL393,', '#thinking-skills']","['[[202101061151]]', '[[202107132036]]', '[[202001031813]]', '[[202002060537]]']",Wed Jul 13 08:51:03 2022,219
"C-ENGL463 October 6, 2022",['202210042005'],"['#class-notes', '#ENGL463', '#beautiful-language']","['[[202210042005]]', '[[202207302024]]', '[[201811231013]]', '[[202208220748]]', '[[202207302024]]']",Sat Oct 08 15:32:32 2022,793
What is meant by reminiscing,['202207302048'],"['#writing', '#travel', '#definition']","['[[202207302048]]', '[[202101121353]]', '[[202105201737]]', '[[201811111610]]', '[[202002090823]]']",Sat Aug 20 16:46:44 2022,300
Umberto Eco’s Antilibrary,['202212181651'],"['#meta-reading', '#definition']","['[[202212181651]]', '[[202006032035]]']",Sun Dec 25 06:54:51 2022,291
Deep Thinking,['202203230939'],['#mule'],"['[[202203230939]]', '[[202203211634]]', '[[202203231527]]']",Wed Mar 23 18:10:17 2022,630
Real Optimism,['202103070804'],"['#mind-science', '#philosophy']","['[[202103070804]]', '[[202301200536]]', '[[202001101624]]', '[[202002071754]]']",Sun Jan 22 15:00:22 2023,172
Spaced Repetition Memory Systems,['202012071538'],"['#spaced-repetition', '#regex']","['[[202012071538]]', '[[202012061015]]', '[[202012091636]]', '[[202012110858]]', '[[202206241636]]', '[[202102050746]]', '[[202110010816]]', '[[202110180625]]']",Sun Jan 22 08:13:12 2023,269
Building Reader Personas,['202110241005'],"['#article', '#writing']","['[[202110241005]]', '[[202211221928]]', '[[202212241757]]', '[[202212240554]]']",Sat Dec 24 17:57:23 2022,1022
Zettelkasting Search,['202201190820'],"['#forum-post', '#sql', '#beautiful-language']","['[[202201190820]]', '[[202201260729]]', '[[202212101442]]']",Thu Jan 19 12:12:55 2023,180
S-Metacognition And The Adult Reader,['202112091728'],"['#reading-strategies', '#article', '#sub-hub']","['[[202112091728]]', '[[202112071702]]', '[[202112241632]]', '[[202112181559]]', '[[201901111020]]', '[[202205060853]]', '[[202212090640]]', '[[202112221417]]', '[[202203181954]]', '[[202302080608]]', '[[202205122022]]', '[[202111260902]]', '[[201901211137]]', '[[202110010828]]', '[[201811121628]]', '[[201901111704]]', '[[202109200657]]', '[[202109200659]]', '[[202005191027]]', '[[202106301810]]', '[[202007091408]]', '[[202112241624]]', '[[201905311111]]', '[[202112221711]]', '[[202112181559]]']",Wed Mar 01 17:40:00 2023,470
Political expediency,['201906031347'],[],"['[[202003262054]]', '[[201906031347]]']",Sat Nov 21 05:25:49 2020,49
Arouse the two-fold Bodhicitta,['201901220705'],['#lojong'],"['[[201901220705]]', '[[201901200707]]']",Tue Nov 01 09:09:42 2022,91
Education and Housing Conundrum,['202206020915'],"['#economics', '#counterintuitive']","['[[202206020915]]', '[[202206020942]]']",Sat Nov 05 14:01:11 2022,186
High Trail References,['202002271036'],['#wild-at-heart'],"['[[202002151537]]', '[[202002271036]]']",Sun Feb 27 07:31:14 2022,315
Leave room for progress,['201902250931'],['#dzogchen'],"['[[201902250931]]', '[[201902251014]]', '[[201901301240]]', '[[202010270743]]']",Fri Feb 25 08:08:58 2022,112
Attention And Distraction Are Inversely Related,['202103270623'],['#thinking-skills'],"['[[202103270623]]', '[[202303051640]]', '[[202103270616]]', '[[202012231628]]', '[[202012051631]]', '[[202103241053]]', '[[202009100828]]', '[[201903040448]]', '[[202103111235]]', '[[202107090513]]']",Sun Mar 05 17:25:09 2023,261
Sound - Vision,['201904251607'],"['#dzogchen,', '#uji,', '#zen']","['[[201905121657]]', '[[201905022005]]', '[[201909230544]]', '[[201904251607]]']",Mon Jan 16 08:39:57 2023,74
"C-JAMM328 January 18, 2022",['202201181939'],['#JAMM328'],"['[[202201181939]]', '[[202201010606]]']",Tue Mar 07 11:17:51 2023,100
C-ENGL 473 Initial Reading List,['202101110703'],['#ENGL473'],"['[[202101110703]]', '[[202012212010]]']",Mon Mar 22 18:14:27 2021,283
Find or Don't Find Text in File,['202208010906'],"['#code-snippet', '#python']","['[[202208010906]]', '[[202110122034]]', '[[202208010905]]']",Tue Jan 31 08:09:32 2023,90
Feynam's Method,['202002210524'],['#thinking-skills'],"['[[202110041725]]', '[[202109291612]]', '[[202112221417]]', '[[202002210524]]']",Sun Mar 12 08:17:04 2023,99
The Art Of Doing Research,['202103141429'],"['#science', '#thinking-skills']","['[[202103141429]]', '[[201903112051]]', '[[201910242013]]', '[[201911220903]]', '[[201911251051]]', '[[202107300711]]', '[[202107070841]]', '[[202207202027]]', '[[202106301918]]', '[[202207140716]]', '[[202102070706]]', '[[201902240737]]', '[[201911190603]]', '[[202205180758]]', '[[202102100614]]', '[[202206251631]]', '[[202203031429]]', '[[202106271402]]', '[[202108011053]]', '[[202206112053]]', '[[202106301918]]', '[[201901221132]]', '[[202008281749]]']",Thu Dec 29 09:10:11 2022,883
Metacognition Interplays With Cognitive Loads,['202111260749'],"['#mind-science', '#cognition']","['[[202111260749]]', '[[202112071702]]', '[[202212140944]]']",Wed Dec 14 19:36:20 2022,118
Keyboard Maestro Environmental Variables in Python,['202207301530'],"['#code-snippet', '#keyboard_maestro', '#python']","['[[202207301530]]', '[[202105090546]]', '[[202203060903]]', '[[202201292056]]']",Sun Mar 05 08:25:33 2023,94
Mind-wandering,['201904041058'],"['#zen,', '#dzogchen']","['[[201904041058]]', '[[202205170920]]', '[[201904201424]]']",Mon Jan 16 15:38:06 2023,93
